Items	AverageTime
1000	0.0001242208500000002
3000	0.0003520354
5000	0.0005908645499999997
7000	0.0008738771999999992
9000	0.0011497001499999964
11000	0.001396947999999984
13000	0.0016601792000000115
15000	0.0019450416999999887
17000	0.0021969313000000266
19000	0.0024988791000000064
21000	0.002732560350000024
23000	0.0030073269500000555
25000	0.0032735728500000506
27000	0.0035978271000000504
29000	0.0038912914999999606
31000	0.004166566549999895
33000	0.004383150050000095
35000	0.004653689650000148
37000	0.00529563534999995
39000	0.005282089549999957
41000	0.0055474584999999355
43000	0.006173627149999828
45000	0.006184920899999824
47000	0.006482654149999689
49000	0.006792204099999921
51000	0.007090095799999929
53000	0.00742509784999994
55000	0.007767079200000015
57000	0.008086335449999904
59000	0.00839900819999979
61000	0.008751131300000381
63000	0.008990687499999872
65000	0.009334837599999802
67000	0.009425997800000552
69000	0.009714999900000265
71000	0.010164549999999651
73000	0.010434524999999972
75000	0.010727102000000243
77000	0.011302506299999848
79000	0.011547360450000177
81000	0.011656285349999606
83000	0.012064554149999828
85000	0.012416698099999656
87000	0.01276532500000016
89000	0.013070281250000093
91000	0.013567637349999728
93000	0.01375447285
95000	0.014441658349998932
97000	0.014624516750000182
99000	0.014901387550001744
101000	0.015441147899999664
103000	0.01592813130000046
105000	0.016149749850000106
107000	0.016542518649999494
109000	0.017069112449999223
111000	0.0175921873500009
113000	0.01797485629999862
115000	0.01822976465000039
117000	0.018587654099999185
119000	0.01887755619999858
121000	0.019329145999998333
123000	0.0199429499499999
125000	0.020330649999999652
127000	0.020982350050000775
129000	0.02119873129999945
131000	0.0215401564000004
133000	0.021708466700002305
135000	0.022147824900000047
137000	0.024591199950000232
139000	0.02688262295000001
141000	0.023775714500002466
143000	0.02567650624999942
145000	0.028353231349998963
147000	0.025024602050000056
149000	0.025854229299996943
151000	0.0260198187499995
153000	0.026529785249997672
155000	0.027132662349998782
157000	0.02756456040000117
159000	0.027701441749999133
161000	0.02880917095000086
163000	0.029113433350000405
165000	0.029396737499998694
167000	0.029686387449999074
169000	0.030300614650001022
171000	0.030865133350003758
173000	0.031548064549996015
175000	0.03259267284999936
177000	0.03284666879999776
179000	0.032987058450001425
181000	0.03404051659999965
183000	0.0343273436999965
185000	0.03520057090000108
187000	0.035510556100003046
189000	0.03595181875000293
191000	0.03674032499999669
193000	0.03858859795000171
195000	0.038890633450000676
197000	0.03974634995000485
199000	0.03870269169999574
